start_location,end_location,total_cost
AT21,UKI2,2506
AT21,UKJ1,2515
AT21,UKJ2,2445
AT21,UKJ3,2549
AT21,UKJ4,2378
AT21,UKK1,2572
AT21,UKK2,2603
AT21,UKK3,2803
AT21,UKK4,2695
AT21,UKL1,2764
AT21,UKL2,2690
AT21,UKM2,3131
AT21,UKM3,3090
AT21,UKM5,3322
AT21,UKM6,3439
AT21,UKN0,3572
AT22,AT11,287
AT22,AT12,363
AT22,AT13,347
AT22,AT21,328
AT22,AT22,157
AT22,AT31,447
AT22,AT32,490
AT22,AT33,774
AT22,AT34,1025
AT22,BE10,1779
AT22,BE21,1801
AT22,BE22,1685
AT22,BE23,1867
AT22,BE24,1774
AT22,BE25,1974
AT22,BE31,1759
AT22,BE32,1814
AT22,BE33,1654
AT22,BE34,1588
AT22,BE35,1722
AT22,BG31,1355
AT22,BG32,1459
AT22,BG33,1571
AT22,BG34,1547
AT22,BG41,1372
AT22,BG42,1473
AT22,CY00,3689
AT22,CZ01,668
AT22,CZ02,681
AT22,CZ03,626
AT22,CZ04,796
AT22,CZ05,687
AT22,CZ06,463
AT22,CZ07,537
AT22,CZ08,627
AT22,DE11,1022
AT22,DE12,1105
AT22,DE13,1243
AT22,DE14,995
AT22,DE21,707
AT22,DE22,638
AT22,DE23,769
AT22,DE24,938
AT22,DE25,860
AT22,DE26,1039
AT22,DE27,849
AT22,DE30,1302
AT22,DE40,1299
AT22,DE50,1664
AT22,DE60,1725
AT22,DE71,1205
AT22,DE72,1254
AT22,DE73,1295
AT22,DE80,1630
AT22,DE91,1379
AT22,DE92,1482
AT22,DE93,1624
AT22,DE94,1672
AT22,DEA1,1501
AT22,DEA2,1439
AT22,DEA3,1528
AT22,DEA4,1458
AT22,DEA5,1451
AT22,DEB1,1303
AT22,DEB2,1401
AT22,DEB3,1195
AT22,DEC0,1324
AT22,DED2,985
AT22,DED4,1013
AT22,DED5,1106
AT22,DEE0,1244
AT22,DEF0,1788
AT22,DEG0,1138
AT22,DK01,2464
AT22,DK02,2398
AT22,DK03,2227
AT22,DK04,2353
AT22,DK05,2479
AT22,EE00,2141
AT22,EL11,1812
AT22,EL12,1669
AT22,EL13,1755
AT22,EL14,1860
AT22,EL21,1910
AT22,EL22,2317
AT22,EL23,2133
AT22,EL24,2045
AT22,EL25,2352
AT22,EL30,2289
AT22,EL41,2747
AT22,EL42,3208
AT22,EL43,3424
AT22,ES11,3851
AT22,ES12,3555
AT22,ES13,3347
AT22,ES21,3224
AT22,ES22,3173
AT22,ES23,3095
AT22,ES24,2918
AT22,ES30,3260
AT22,ES41,3380
AT22,ES42,3307
AT22,ES43,3531
AT22,ES51,2652
AT22,ES52,3295
AT22,ES53,3706
AT22,ES61,3785
AT22,ES62,3392
AT22,ES63,4208
AT22,ES64,4472
AT22,ES70,8880
AT22,FI19,3459
AT22,FI1B,3202
AT22,FI1C,3344
AT22,FI1D,3839
AT22,FI20,3577
AT22,FR10,2109
AT22,FR21,1688
AT22,FR22,2013
AT22,FR23,2299
AT22,FR24,2252
AT22,FR25,2530
AT22,FR26,1955
AT22,FR30,1876
AT22,FR41,1440
AT22,FR42,1341
AT22,FR43,1669
AT22,FR51,2790
AT22,FR52,2901
AT22,FR53,2591
AT22,FR61,2732
AT22,FR62,2623
AT22,FR63,2346
AT22,FR71,1784
AT22,FR72,2083
AT22,FR81,2272
AT22,FR82,1852
AT22,FR83,2069
AT22,HR03,717
AT22,HR04,411
AT22,HU10,617
AT22,HU21,439
AT22,HU22,289
AT22,HU23,503
AT22,HU31,801
AT22,HU32,936
AT22,HU33,754
AT22,IE01,3754
AT22,IE02,3611
AT22,ITC1,1292
AT22,ITC2,1319
AT22,ITC3,1380
AT22,ITC4,1080
AT22,ITF1,1506
AT22,ITF2,1722
AT22,ITF3,1903
AT22,ITF4,2027
AT22,ITF5,2095
AT22,ITF6,2439
AT22,ITG1,2977
AT22,ITG2,2623
AT22,ITH1,802
AT22,ITH2,956
AT22,ITH3,782
AT22,ITH4,557
AT22,ITH5,1009
AT22,ITI1,1136
AT22,ITI2,1213
AT22,ITI3,1288
AT22,ITI4,1545
AT22,LT00,1624
AT22,LU00,1500
AT22,LV00,1868
AT22,MT00,3518
AT22,NL11,1871
AT22,NL12,1859
AT22,NL13,1806
AT22,NL21,1745
AT22,NL22,1736
